latitude,longitude,FID,id,local,st_area(shape),st_perimeter(shape),
0,0,1,1,Rio dos Sinos,0.013583979099582493,4.436922281884314,
0,0,2,2,Rio dos Sinos,0.00010849186551956872,0.320242239854031,
0,0,3,3,Rio dos Sinos,0.00010549758553847789,0.3068625816778267,
0,0,4,4,Rio dos Sinos,0.0000019295408214884425,0.013816749997090547,
0,0,5,5,Rio dos Sinos,0.000013255210292410988,0.01492565020936941,
0,0,6,6,Rio dos Sinos,0.00004612010886717202,0.09143768033374966,
0,0,7,7,Arroio Areia,0.0002684441414920245,0.30458061152946714,
0,0,8,8,Arroio Grande,0.00010738795666683055,0.32131145981737397,
0,0,9,9,Nascentes do Rio do Sinos,0.00019508990547963164,0.8984377939245396,
0,0,10,10,Rio Paranhana,0.0012662928352248108,1.4069462477048693,
